parcel_id,county,just_value,building_value,land_value,year_built,land_sqft,sale_date,target,property_age,land_building_ratio,building_value_pct,land_value_pct,value_per_sqft,value_category,age_category,is_top_county
25 3609-79-*-40,BREVARD,195660.0,135660.0,60000.0,1989,,2025-04-01,1,36,0.442278915826951,0.6933420559028115,0.3066528332166349,45.272963798175205,medium-low,old,1
25 3612-25-*-1,BREVARD,632490.0,452490.0,180000.0,2003,,2025-04-01,1,22,0.39779796725238736,0.7154093892245107,0.2845890297253241,45.272963798175205,high,old,1
25 3615-00-20,BREVARD,133650.0,99650.0,34000.0,1952,,2025-04-01,1,73,0.34119075573752394,0.7455986113085573,0.25439390651772154,45.272963798175205,medium-low,very_old,1
25 3616-53-*-28,BREVARD,638260.0,513260.0,125000.0,1993,,2025-04-01,1,32,0.24354081062071734,0.8041537866170736,0.1958446466257534,45.272963798175205,high,old,1
25 3616-78-1-2,BREVARD,266400.0,191400.0,75000.0,1993,,2025-04-01,1,32,0.3918474825105407,0.7184657715248817,0.28153047473545517,45.272963798175205,medium,old,1
514230081470,BROWARD,408240.0,373360.0,34880.0,1958,7750.0,2025-04-01,1,67,0.09342164821714105,0.914557822462712,0.08543972800380167,52.6693329892917,medium,very_old,1
25 3628-83-A-41,BREVARD,346120.0,231120.0,115000.0,2001,,2025-04-01,1,24,0.49757486338324947,0.6677433614256286,0.332253749411333,45.272963798175205,medium,old,1
25 3633-PN-*-67,BREVARD,324820.0,214820.0,110000.0,1997,,2025-04-01,1,28,0.5120542218870595,0.6613488659908072,0.3386480553905074,45.272963798175205,medium,old,1
25 3634-PT-*-214,BREVARD,331470.0,298470.0,33000.0,1994,,2025-04-01,1,31,0.11056350533217632,0.9004407625403127,0.09955622060451744,45.272963798175205,medium,old,1
25 3703-80-*-23,BREVARD,724020.0,274020.0,450000.0,1964,10019.0,2025-04-01,1,61,1.6422099036205253,0.37846968527155983,0.6215289335530323,72.25748502994011,high,very_old,1
25 3715-15-*-31,BREVARD,324580.0,159580.0,165000.0,1990,4356.0,2025-04-01,1,35,1.0339576766657685,0.4916492339354429,0.5083476851694955,74.49621299058985,medium,old,1
26 3602-76-*-64,BREVARD,340340.0,230340.0,110000.0,2000,6534.0,2025-04-01,1,25,0.47755284556375116,0.676791805865294,0.32320525590510696,52.079571537872994,medium,old,1
26 3602-76-*-98,BREVARD,410890.0,300890.0,110000.0,2000,8276.0,2025-04-01,1,25,0.3655808914191518,0.7322866648332527,0.26771090143127985,49.642382505738794,medium,old,1
26 3603-78-J-53,BREVARD,280840.0,244090.0,36750.0,1989,8712.0,2025-04-01,1,36,0.15055860314390945,0.8691394774979436,0.13085696176840275,32.23229656834615,medium,old,1
26 3605-26-A-18,BREVARD,655970.0,545970.0,110000.0,2011,11326.0,2025-04-01,1,14,0.20147590256625353,0.8323081355730665,0.16769033996929741,57.91206850887261,high,moderate,1
26 3608-75-E-18,BREVARD,358430.0,288430.0,70000.0,2005,6098.0,2025-04-01,1,20,0.24269235969781333,0.8047016022609651,0.19529560780178054,58.76865059845876,medium,moderate,1
26 3608-UP-D-1,BREVARD,411820.0,334820.0,77000.0,2006,10890.0,2025-04-01,1,19,0.2299736276995768,0.813023133837274,0.18697443792327248,37.81287301441557,medium,moderate,1
26 3611-28-*-55,BREVARD,368330.0,253330.0,115000.0,1998,6098.0,2025-04-01,1,27,0.4539515495537459,0.6877781126215279,0.3122191724291466,60.39186751926545,medium,old,1
26 3612-36-*-4,BREVARD,325010.0,225260.0,99750.0,1994,6098.0,2025-04-01,1,31,0.44281966252480454,0.6930842340720775,0.306912689108984,53.28906378094769,medium,old,1
26 3623-79-*-17,BREVARD,406760.0,301760.0,105000.0,2001,8712.0,2025-04-01,1,24,0.3479574895364212,0.7418606995262574,0.25813684202762804,46.684264891541375,medium,old,1
26 3626-25-C-8,BREVARD,628450.0,478450.0,150000.0,1998,10454.0,2025-04-01,1,27,0.3135117284737622,0.7613163158305103,0.23868209295553672,60.109995217599234,high,old,1
26 3722-75-*-151,BREVARD,631200.0,276200.0,355000.0,1968,,2025-04-01,1,57,1.2852958533821384,0.43757852094657645,0.5624198947720298,45.272963798175205,high,very_old,1
26 3723-77-29-6,BREVARD,308880.0,133880.0,175000.0,1960,,2025-04-01,1,65,1.3071309595835108,0.4334355301880012,0.5665612323192427,45.272963798175205,medium,very_old,1
26 3727-76-*-112,BREVARD,325310.0,140310.0,185000.0,1961,9148.0,2025-04-01,1,64,1.3184996187041642,0.4313103460995786,0.5686865799189084,35.55689146354793,medium,very_old,1
26 3730-52-A-18,BREVARD,380380.0,300380.0,80000.0,1995,7841.0,2025-04-01,1,30,0.266328429561124,0.7896819241760236,0.2103154468808905,48.50548329507779,medium,old,1
26 3731-76-S-4,BREVARD,221730.0,146730.0,75000.0,1961,7405.0,2025-04-01,1,64,0.5111394320218632,0.6617477934975263,0.3382476965331866,29.93923845530651,medium-low,very_old,1
26 3731-77-L-23,BREVARD,198290.0,123290.0,75000.0,1959,7841.0,2025-04-01,1,66,0.6083169087767963,0.6217629645319253,0.378231992374843,25.28564141800561,medium-low,very_old,1
26 3732-52-*-7.01,BREVARD,99840.0,50340.0,49500.0,1983,10890.0,2025-04-01,1,42,0.9832939353608391,0.5042016806722689,0.4957883034024098,9.16720227710954,low,very_old,1
26 3732-DY-M-4,BREVARD,171760.0,96760.0,75000.0,1959,6970.0,2025-04-01,1,66,0.7751056727400503,0.5633409213965918,0.43665325655998743,24.639219624157224,medium-low,very_old,1
27 3601-52-*-12,BREVARD,797720.0,661720.0,136000.0,1995,,2025-04-01,1,30,0.2055246848747433,0.8295130753734702,0.17048567105541912,45.272963798175205,high,old,1
27 3611-51-B-14,BREVARD,420330.0,285330.0,135000.0,1977,,2025-04-01,1,48,0.47313471021375175,0.6788221663403365,0.32117545458222213,45.272963798175205,medium,very_old,1
27 3613-VC-*-78,BREVARD,569300.0,475800.0,93500.0,2011,,2025-04-01,1,14,0.1965107261228959,0.8357617499354472,0.16423649352451516,45.272963798175205,high,moderate,1
27 3614-78-*-13,BREVARD,114890.0,49890.0,65000.0,1957,,2025-04-01,1,68,1.3028401916177266,0.43423766874689923,0.5657536273511415,45.272963798175205,medium-low,very_old,1
27 3623-UD-*-14,BREVARD,290330.0,220330.0,70000.0,2006,,2025-04-01,1,19,0.3177038183460339,0.7588924365637841,0.24110411909165747,45.272963798175205,medium,moderate,1
27 3626-77-*-151,BREVARD,336460.0,247210.0,89250.0,2013,5663.0,2025-04-01,1,12,0.36102762417529966,0.7347359723712407,0.2652610555160925,59.40324858757062,medium,moderate,1
27 3702-00-589.Q,BREVARD,567030.0,262030.0,305000.0,1988,,2025-04-01,1,37,1.1639844140578786,0.462108773594389,0.5378894628336017,45.272963798175205,high,old,1
27 3705-27-*-38,BREVARD,309450.0,234450.0,75000.0,1988,,2025-04-01,1,37,0.3198962683033982,0.7576320645271788,0.24236470394343532,45.272963798175205,medium,old,1
27 3707-02-*-57,BREVARD,256290.0,186290.0,70000.0,1995,,2025-04-01,1,30,0.37575620937135984,0.72686906680297,0.2731270313822959,45.272963798175205,medium,old,1
27 3711-52-*-33,BREVARD,584850.0,239850.0,345000.0,1968,,2025-04-01,1,57,1.438393002322275,0.41010445395493894,0.5898938362078546,45.272963798175205,high,very_old,1
27 3713-27-B-16,BREVARD,478480.0,283480.0,195000.0,1966,,2025-04-01,1,59,0.6878767889205979,0.5924582167316989,0.4075396933211559,45.272963798175205,medium,very_old,1
27 3713-53-*-126,BREVARD,496310.0,368310.0,128000.0,2002,,2025-04-01,1,23,0.3475323843165151,0.7420951782249436,0.2579028069093774,45.272963798175205,medium,old,1
27 3717-30-A-38,BREVARD,560320.0,505320.0,55000.0,2004,,2025-04-01,1,21,0.10884170655880124,0.9018401951738378,0.09815802013488696,45.272963798175205,high,old,1
27 3717-80-*-76,BREVARD,250630.0,185630.0,65000.0,1981,,2025-04-01,1,44,0.35015703196125647,0.7406505978909234,0.25934541217965856,45.272963798175205,medium,very_old,1
27 3719-05-H-7,BREVARD,182380.0,112380.0,70000.0,1959,,2025-04-01,1,66,0.6228810919995373,0.6161826067408337,0.3838119102318772,45.272963798175205,medium-low,very_old,1
27 3719-07-8-4,BREVARD,220870.0,150870.0,70000.0,1964,9583.0,2025-04-01,1,61,0.4639725328260567,0.6830683973903319,0.3169270750800241,23.045701168614357,medium-low,very_old,1
27 3719-50-4-5,BREVARD,212580.0,142580.0,70000.0,1964,6970.0,2025-04-01,1,61,0.4909490044255546,0.670709047374883,0.3292862485358522,30.494907473820113,medium-low,very_old,1
